CELL IMPACT;EMOTRA;;;;
CELLAVISION;ENTRACTION HOLDING 'B';;;;
CHARGEPANEL;EUROVIP GROUP 'B';;;;
CHECKIN COM GROUP;EVENDO;;;;
CHEFFELO;FASTTV NET;;;;
CHORDATE MEDICAL HOLDING;FAZER KONFEKTYR SERVICE;;;;
CINCLUS PHARMA HOLDING;FOLLICUM;;;;
CINT GROUP;FUNDIOR FASTIGHETER;;;;
CIRCHEM;FUUD;;;;
CLAVISTER;GIFTTODAY SWEDEN;;;;
CLEAN MOTION;GLOBAL GAMING 555;;;;
CLEMONDO GROUP;GLOBAL GAMING FACTORY X;;;;
CLINICAL LASERTHERMIA SYSTEMS B;GLOBALFUN;;;;
CODEMILL;GROUP OF RETAIL ASSETS SWEDEN B;;;;
COEGIN PHARMA;GUNNEBO INDUSTRIER;;;;
COELI PRIVATE EQUITY;HALMSLATTEN FASTIGHETS;;;;
COINSHARES INTERNATIONAL;HARM REDUCTION GROUP;;;;
COLLAXIO;HARTELEX;;;;
COMBINEDX;HEART OF BRANDS 'B';;;;
COMINTELLI;HL DISPLAY 'B';;;;
COMPODIUM INTERNATIONAL;HUBBR B;;;;
CONCEJO B;IBS 'B';;;;
CONSENSUS ASSET MANAGEMENT B;ICM KUNGSHOLMS;;;;
COREM PROPERTY GROUP A;IDL BIOTECH;;;;
CRETURNER GROUP;INTERFOX RESOURCES;;;;
CROWN ENERGY;INTL.MKTG.& SALES (OME) GP.;;;;
CRUNCHFISH;INZILE;;;;
CTEK;IRONROAD;;;;
CURASIGHT;ISR IMMUNE SYSTEM REGULATION HOLDING;;;;
CYBER SECURITY 1;IVISYS;;;;
DEDICARE;JAMES CONCEPTS;;;;
DESENIO GROUP;JEEVES INFO.SYSTEMS;;;;
DEVPORT B;JELLO;;;;
DEVYSER DIAGNOSTICS;JOSAB WATER SOLUTIONS;;;;
DIADROM HOLDING;JUNEBUD 'B';;;;
DIAMYD MEDICAL B;KARESSA PHARMA HOLDING;;;;
DICOT PHARMA;KINDWALLS 'B';;;;
DISTIT;KLIMAX;;;;
DOXA;LAYERLAB;;;;
DRILLCON;LEDSTIERNAN 'B';;;;
DUNI;LEXINGTON COMPANY;;;;
DUROC B;LIGHTLAB SWEDEN B;;;;
DUSTIN GROUP;LIV IHOP;;;;
EASTNINE;LUNCHEXPRESS I SVER.;;;;
EASYFILL B;MAGNOLIA BOSTAD;;;;
EATGOOD SWEDEN;MAHLER INTERNATIONAL AB;;;;
ECOCLIME GROUP B;MALARASEN;;;;
ECORUB B;MATSE HOLDING;;;;
EEDUCATION ALBERT;MAXFASTIGHETER I SVERIGE;;;;
EFFNETPLATTFORMEN HOLDING;MENUPAY B;;;;
EGETIS THERAPEUTICS;MICRO HOLDING;;;;
ELANDERS B;MICUS;;;;
ELICERA THERAPEUTICS;MOBIPLUS;;;;
ELON;MOXIETECH GROUP;;;;
ELTEL;MUNTERS;;;;
EMB MISSION BOUND;MYFC HOLDING;;;;
EMBELLENCE GROUP;NEONET;;;;
ENAD GLOBAL 7;NETONNET;;;;
ENEA;NEWTON NORDIC;;;;
ENERGY SAVE HOLDING B;NILORNGRUPPEN 'B';;;;
ENERSIZE;NORINVENT;;;;
ENIRO GROUP;NUSTAY;;;;
ENITY HOLDING;OBOYA HORT.INDS.;;;;
ENORAMA PHARMA;ODEN CONTROL;;;;
